train,test,lambda,training_mse,test_mse
2015a.csv,2015b.csv,0.760000,0.003300,0.004284
2016a.csv,2016b.csv,0.760000,0.000023,0.000030
2017a.csv,2017b.csv,0.760000,0.000023,0.000025
2018a.csv,2018b.csv,0.760000,0.108167,0.131431
2019a.csv,2019b.csv,0.760000,0.104306,0.134712
2020a.csv,2020b.csv,0.760000,0.000279,0.000260
2015a.csv,2015b.csv,0.770000,0.003360,0.004361
2016a.csv,2016b.csv,0.770000,0.000023,0.000031
2017a.csv,2017b.csv,0.770000,0.000023,0.000025
2018a.csv,2018b.csv,0.770000,0.109181,0.132559
2019a.csv,2019b.csv,0.770000,0.105288,0.135764
2020a.csv,2020b.csv,0.770000,0.000284,0.000264
2015a.csv,2015b.csv,0.780000,0.003421,0.004438
2016a.csv,2016b.csv,0.780000,0.000023,0.000031
2017a.csv,2017b.csv,0.780000,0.000024,0.000026
2018a.csv,2018b.csv,0.780000,0.110186,0.133678
2019a.csv,2019b.csv,0.780000,0.106263,0.136807
2020a.csv,2020b.csv,0.780000,0.000288,0.000267
2015a.csv,2015b.csv,0.790000,0.003481,0.004515
2016a.csv,2016b.csv,0.790000,0.000024,0.000032
2017a.csv,2017b.csv,0.790000,0.000024,0.000026
2018a.csv,2018b.csv,0.790000,0.111184,0.134787
2019a.csv,2019b.csv,0.790000,0.107231,0.137843
2020a.csv,2020b.csv,0.790000,0.000293,0.000271
